partit_id,data,hora_es,fase,equip1,equip2,gol1,gol2
48,2026-06-24,04:00,Fase de grups,Colombia,DR Congo,3,0
49,2026-06-24,21:00,Fase de grups,Switzerland,Canada,3,2
50,2026-06-24,21:00,Fase de grups,Bosnia & Herzegovina,Qatar,2,2
51,2026-06-25,00:00,Fase de grups,Scotland,Brazil,0,3
52,2026-06-25,00:00,Fase de grups,Morocco,Haiti,3,0
53,2026-06-25,03:00,Fase de grups,Czech Republic,Mexico,1,1
54,2026-06-25,03:00,Fase de grups,South Africa,South Korea,0,3
55,2026-06-25,22:00,Fase de grups,Curaçao,Ivory Coast,1,2
56,2026-06-25,22:00,Fase de grups,Ecuador,Germany,1,3
57,2026-06-26,01:00,Fase de grups,Japan,Sweden,2,1
58,2026-06-26,01:00,Fase de grups,Tunisia,Netherlands,1,2
59,2026-06-26,04:00,Fase de grups,Turkey,USA,2,2
60,2026-06-26,04:00,Fase de grups,Paraguay,Australia,1,2
61,2026-06-26,21:00,Fase de grups,Norway,France,1,2
62,2026-06-26,21:00,Fase de grups,Senegal,Iraq,3,0
63,2026-06-27,02:00,Fase de grups,Cape Verde,Saudi Arabia,1,1
64,2026-06-27,02:00,Fase de grups,Uruguay,Spain,1,2
65,2026-06-27,05:00,Fase de grups,Egypt,Iran,2,1
66,2026-06-27,05:00,Fase de grups,New Zealand,Belgium,0,2
67,2026-06-27,23:00,Fase de grups,Panama,England,1,2
68,2026-06-27,23:00,Fase de grups,Croatia,Ghana,2,1
69,2026-06-28,01:30,Fase de grups,Colombia,Portugal,1,1
70,2026-06-28,01:30,Fase de grups,DR Congo,Uzbekistan,1,1
71,2026-06-28,04:00,Fase de grups,Algeria,Austria,2,1
72,2026-06-28,04:00,Fase de grups,Jordan,Argentina,0,2
73,2026-06-28,21:00,Setzens de final,2A,2B,,
74,2026-06-29,19:00,Setzens de final,1C,2F,,
75,2026-06-29,22:30,Setzens de final,1E,3A/B/C/D/F,,
76,2026-06-30,03:00,Setzens de final,1F,2C,,
77,2026-06-30,19:00,Setzens de final,2E,2I,,
78,2026-06-30,23:00,Setzens de final,1I,3C/D/F/G/H,,
79,2026-07-01,03:00,Setzens de final,1A,3C/E/F/H/I,,
80,2026-07-01,18:00,Setzens de final,1L,3E/H/I/J/K,,
81,2026-07-01,22:00,Setzens de final,1G,3A/E/H/I/J,,
82,2026-07-02,02:00,Setzens de final,1D,3B/E/F/I/J,,
83,2026-07-02,21:00,Setzens de final,1H,2J,,
84,2026-07-03,01:00,Setzens de final,2K,2L,,
85,2026-07-03,05:00,Setzens de final,1B,3E/F/G/I/J,,
86,2026-07-03,20:00,Setzens de final,2D,2G,,
87,2026-07-04,00:00,Setzens de final,1J,2H,,
88,2026-07-04,03:30,Setzens de final,1K,3D/E/I/J/L,,
89,2026-07-04,19:00,Vuitens de final,W73,W75,,
90,2026-07-04,23:00,Vuitens de final,W74,W77,,
91,2026-07-05,22:00,Vuitens de final,W76,W78,,
92,2026-07-06,02:00,Vuitens de final,W79,W80,,
93,2026-07-06,21:00,Vuitens de final,W83,W84,,
94,2026-07-07,02:00,Vuitens de final,W81,W82,,
95,2026-07-07,18:00,Vuitens de final,W86,W88,,
96,2026-07-07,22:00,Vuitens de final,W85,W87,,
97,2026-07-09,22:00,Quarts de final,W89,W90,,
98,2026-07-10,21:00,Quarts de final,W93,W94,,
99,2026-07-11,23:00,Quarts de final,W91,W92,,
100,2026-07-12,03:00,Quarts de final,W95,W96,,
101,2026-07-14,21:00,Semifinals,W97,W98,,
102,2026-07-15,21:00,Semifinals,W99,W100,,
103,2026-07-18,23:00,3r i 4t lloc,L101,L102,,
104,2026-07-19,21:00,Final,W101,W102,,
