partit_id,data,hora_es,fase,equip1,equip2,gol1,gol2
41,2026-06-22,19:00,Fase de grups,Argentina,Austria,1,0
42,2026-06-22,23:00,Fase de grups,France,Iraq,3,0
43,2026-06-23,02:00,Fase de grups,Norway,Senegal,2,2
44,2026-06-23,05:00,Fase de grups,Jordan,Algeria,0,1
45,2026-06-23,19:00,Fase de grups,Portugal,Uzbekistan,4,0
46,2026-06-23,22:00,Fase de grups,England,Ghana,2,2
47,2026-06-24,01:00,Fase de grups,Panama,Croatia,0,2
48,2026-06-24,04:00,Fase de grups,Colombia,DR Congo,2,1
49,2026-06-24,21:00,Fase de grups,Switzerland,Canada,1,0
50,2026-06-24,21:00,Fase de grups,Bosnia & Herzegovina,Qatar,2,0
51,2026-06-25,00:00,Fase de grups,Scotland,Brazil,0,2
52,2026-06-25,00:00,Fase de grups,Morocco,Haiti,3,0
53,2026-06-25,03:00,Fase de grups,Czech Republic,Mexico,0,2
54,2026-06-25,03:00,Fase de grups,South Africa,South Korea,1,2
55,2026-06-25,22:00,Fase de grups,Curaçao,Ivory Coast,0,2
56,2026-06-25,22:00,Fase de grups,Ecuador,Germany,0,2
57,2026-06-26,01:00,Fase de grups,Japan,Sweden,1,2
58,2026-06-26,01:00,Fase de grups,Tunisia,Netherlands,1,3
59,2026-06-26,04:00,Fase de grups,Turkey,USA,0,1
60,2026-06-26,04:00,Fase de grups,Paraguay,Australia,2,1
61,2026-06-26,21:00,Fase de grups,Norway,France,1,3
62,2026-06-26,21:00,Fase de grups,Senegal,Iraq,2,0
63,2026-06-27,02:00,Fase de grups,Cape Verde,Saudi Arabia,2,1
64,2026-06-27,02:00,Fase de grups,Uruguay,Spain,0,1
65,2026-06-27,05:00,Fase de grups,Egypt,Iran,1,0
66,2026-06-27,05:00,Fase de grups,New Zealand,Belgium,0,3
67,2026-06-27,23:00,Fase de grups,Panama,England,0,3
68,2026-06-27,23:00,Fase de grups,Croatia,Ghana,2,1
69,2026-06-28,01:30,Fase de grups,Colombia,Portugal,0,1
70,2026-06-28,01:30,Fase de grups,DR Congo,Uzbekistan,2,1
71,2026-06-28,04:00,Fase de grups,Algeria,Austria,0,1
72,2026-06-28,04:00,Fase de grups,Jordan,Argentina,0,2
73,2026-06-28,21:00,Setzens de final,South Africa,Canada,0,1
74,2026-06-29,19:00,Setzens de final,Brazil,Japan,2,0
75,2026-06-29,22:30,Setzens de final,Germany,Paraguay,2,0
76,2026-06-30,03:00,Setzens de final,Netherlands,Morocco,1,0
77,2026-06-30,19:00,Setzens de final,Ivory Coast,Norway,,
78,2026-06-30,23:00,Setzens de final,France,Sweden,,
79,2026-07-01,03:00,Setzens de final,Mexico,Ecuador,,
80,2026-07-01,18:00,Setzens de final,England,DR Congo,,
81,2026-07-01,22:00,Setzens de final,Belgium,Senegal,,
82,2026-07-02,02:00,Setzens de final,USA,Bosnia & Herzegovina,,
83,2026-07-02,21:00,Setzens de final,Spain,Austria,,
84,2026-07-03,01:00,Setzens de final,Portugal,Croatia,,
85,2026-07-03,05:00,Setzens de final,Switzerland,Algeria,,
86,2026-07-03,20:00,Setzens de final,Australia,Egypt,,
87,2026-07-04,00:00,Setzens de final,Argentina,Cape Verde,,
88,2026-07-04,03:30,Setzens de final,Colombia,Ghana,,
89,2026-07-04,19:00,Vuitens de final,W73,W75,,
90,2026-07-04,23:00,Vuitens de final,W74,W77,,
91,2026-07-05,22:00,Vuitens de final,W76,W78,,
92,2026-07-06,02:00,Vuitens de final,W79,W80,,
93,2026-07-06,21:00,Vuitens de final,W83,W84,,
94,2026-07-07,02:00,Vuitens de final,W81,W82,,
95,2026-07-07,18:00,Vuitens de final,W86,W88,,
96,2026-07-07,22:00,Vuitens de final,W85,W87,,
97,2026-07-09,22:00,Quarts de final,W89,W90,,
98,2026-07-10,21:00,Quarts de final,W93,W94,,
99,2026-07-11,23:00,Quarts de final,W91,W92,,
100,2026-07-12,03:00,Quarts de final,W95,W96,,
101,2026-07-14,21:00,Semifinals,W97,W98,,
102,2026-07-15,21:00,Semifinals,W99,W100,,
103,2026-07-18,23:00,3r i 4t lloc,L101,L102,,
104,2026-07-19,21:00,Final,W101,W102,,
